"","X.1","X","Address","Room","Model","Year","Area","Price","Type","lon","lat","street_name","blk/postalcode","postal_code","postal_2dgt","Postal_District","Region"
"84",84,84,"  Blk 442C Fajar Road Singapore","4-Room","Model A"," Built-2015","93 sqm / $449 psf(Built)",450000,"Resale",103.7709292,1.381497,"442c fajar rd"," singapore 674442"," singapore 674442","67","23","West"
"85",85,85,"  Blk 121 Bedok North Road Singapore","4-Room","New Generation"," Built-1978","92 sqm / $434 psf(Built)",430000,"Resale",103.9387352,1.3296222,"121 bedok north rd"," block 121"," singapore 460121","46","16","East"
"86",86,86,"  Blk 111 Jurong East Street 13 Singapore","5-Room","Improved"," Built-1981","120 sqm / $386 psf(Built)",500000,"Resale",103.735569,1.3387661,"111 jurong east street 13"," block 111"," singapore 600111","60","22","West"
"87",87,87,"  Blk 19 Bedok South Road Singapore","5-Room","Improved"," Built-1976","119 sqm / $498 psf(Built)",638000,"Resale",103.9342936,1.3196254,"19 bedok s rd"," block 19"," singapore 460019","46","16","East"
"88",88,88,"  Blk 308A Punggol Walk Singapore","4-Room","Model A"," Built-2016","92 sqm / $520 psf(Built)",515000,"Resale",103.9005963,1.4076123,"308a punggol walk"," singapore 821308"," singapore 821308","82","19","North-East"
"89",89,89,"  Blk 366 Clementi Avenue 2 Singapore","3-Room","Model A"," Built-2003","61 sqm / $639 psf(Built)",420000,"Resale",103.7717325,1.3125343,"366 clementi ave 2"," block 366"," singapore 120366","12","05","West"
"90",90,90,"  Blk 488A Tampines Avenue 9 Singapore","5-Room","Improved"," Built-1989","121 sqm / $445 psf(Built)",580000,"Resale",103.9564542,1.3599286,"488a tampines ave 9"," singapore 520488"," singapore 520488","52","18","East"
"91",91,91,"  Blk 495B Tampines Street 43 Singapore","3-Room","Built-1994",NA,"147 sqm / $403 psf(Built)",638888,"Resale",103.9513128,1.3628324,"495b tampines street 43"," block 495b"," singapore 521495","52","18","East"
"92",92,92,"  Blk 710 Ang Mo Kio Avenue 8 Singapore","5-Room","Improved"," Built-1980","117 sqm / $578 psf(Built)",728000,"Resale",103.8482103,1.3710763,"710 ang mo kio ave 8"," singapore 560710"," singapore 560710","56","20","North-East"
"93",93,93,"  Blk 716 Clementi West Street 2 Singapore","4-Room","New Generation"," Built-1981","91 sqm / $433 psf(Built)",425000,"Resale",103.7628152,1.302303,"716 clementi west street 2"," block 716"," singapore 120716","12","05","West"
"94",94,94,"  Blk 639 Bedok Reservoir Road Singapore","HDB Executive","Apartment"," Built-1993","144 sqm / $482 psf(Built)",748000,"Resale",103.9046567,1.3317207,"639 bedok reservoir rd"," block 639"," singapore 410639","41","14","Central"
"95",95,95,"  Blk 32 Bedok South Avenue 2 Singapore","5-Room","Standard"," Built-1978","118 sqm / $470 psf(Built)",598000,"Resale",103.9378287,1.3226774,"32 bedok south ave 2"," block 32"," singapore 460032","46","16","East"
"96",96,96,"  Blk 628 Bukit Batok Central Singapore","HDB Executive","Multi Generation"," Built-1997","140 sqm / $484 psf(Built)",730000,"Resale",103.7498737,1.3514322,"628 bukit batok central"," block 628"," singapore 650628","65","23","West"
"97",97,97,"  Blk 311C Trivelis Singapore","4-Room","New Generation"," Built-2014","80 sqm / $915 psf(Built)",788000,"Resale",103.7655694,1.3191667,"311a clementi ave 4"," singapore 121311"," singapore 121311","12","05","West"
"98",98,98,"  Blk 4 Sago Lane Singapore","3-Room","Improved"," Built-1974","67 sqm / $624 psf(Built)",450000,"Resale",103.8429707,1.2817753,"4 sago ln"," singapore 050004"," singapore 050004","05","01","Central"
"99",99,99,"  Blk 451A Sengkang West Way Singapore","4-Room","Model A"," Built-2015","92 sqm / $463 psf(Built)",458800,"Resale",103.874039,1.3944327,"451a sengkang w way"," singapore 790451"," singapore 790451","79","28","North-East"
"100",100,100,"  Blk 202A Compassvale Drive Singapore","HDB Executive","Apartment"," Built-2001","130 sqm / $420 psf(Built)",588000,"Resale",103.893254,1.38875,"202a compassvale dr"," singapore 541202"," singapore 541202","54","19","North-East"
"101",101,101,"  Blk 183C Boon Lay Avenue Singapore","4-Room","Model A"," Built-2015","92 sqm / $484 psf(Built)",480000,"Resale",103.7092363,1.3485931,"183c boon lay ave"," singapore 643183"," singapore 643183","64","22","West"
"102",102,102,"  Blk 320 Hougang Avenue 5 Singapore","5-Room","Model A"," Built-1983","121 sqm / $337 psf(Built)",440000,"Resale",103.898155,1.366379,"320 hougang ave 5"," singapore 530320"," singapore 530320","53","19","North-East"
"103",103,103,"  Blk 612A Punggol Drive Singapore","4-Room","Model A"," Built-2012","93 sqm / $437 psf(Built)",438000,"Resale",103.9084641,1.4049257,"612a punggol dr"," singapore"," singapore","",NA,NA
"104",104,104,"  Blk 10A Tiong Bahru View Singapore","4-Room","Model A"," Built-2016","92 sqm / $994 psf(Built)",985000,"Resale",103.8286125,1.2869556,"9a boon tiong rd"," singapore 162009"," singapore 162009","16","03","Central"
"105",105,105,"  Blk 287 Yishun Avenue 6 Singapore","3-Room","Model A"," Built-1985","74 sqm / $401 psf(Built)",320000,"Resale",103.8375991,1.4396966,"287 yishun ave 6"," singapore 760287"," singapore 760287","76","27","North"
"106",106,106,"  Blk 17B Circuit Road Singapore","4-Room","Model A"," Built-2016","93 sqm / $779 psf(Built)",780000,"Resale",103.8890392,1.3299833,"17b circuit rd"," singapore 372017"," singapore 372017","37","13","Central"
"107",107,107,"  Blk 611 Hougang Avenue 8 Singapore","4-Room","Simplified"," Built-1986","84 sqm / $420 psf(Built)",380000,"Resale",103.8846305,1.3700555,"611 hougang ave 8"," block 611"," singapore 530611","53","19","North-East"
"108",108,108,"  Blk 344 Ang Mo Kio Avenue 3 Singapore","4-Room","New Generation"," Built-1978","98 sqm / $454 psf(Built)",480000,"Resale",103.8492068,1.3679934,"344 ang mo kio ave 3"," block 344"," singapore 560344","56","20","North-East"
"109",109,109,"  Blk 1G The Pinnacle@Duxton Singapore","4-Room","Premium Apartment"," Built-2011","93 sqm / $968 psf(Built)",969000,"Resale",103.8412344,1.2757638,"1g cantonment rd"," singapore 085301"," singapore 085301","08","02","Central"
"110",110,110,"  Blk 807A Chai Chee Road Singapore","3-Room","Model A"," Built-2016","68 sqm / $710 psf(Built)",520000,"Resale",103.9232433,1.3272024,"807a chai chee rd"," singapore 461808"," singapore 461808","46","16","East"
"111",111,111,"  Blk 673B Edgefield Plains Singapore","4-Room","Model A"," Built-2015","90 sqm / $490 psf(Built)",475000,"Resale",103.9110911,1.4069768,"673b edgefield plains"," singapore 822673"," singapore 822673","82","19","North-East"
"112",112,112,"  Blk 525C Pasir Ris Street 51 Singapore","4-Room","Improved"," Built-2015","93 sqm / $487 psf(Built)",488000,"Resale",103.9474365,1.3701025,"525c pasir ris street 51"," singapore 513525"," singapore 513525","51","18","East"
"113",113,113,"  Blk 172B Edgedale Plains Singapore","5-Room","Improved"," Built-2004","110 sqm / $369 psf(Built)",438000,"Resale",103.9119068,1.3958304,"172b edgedale plains"," block 172b"," singapore 822172","82","19","North-East"
"114",114,114,"  Blk 325 Hougang Avenue 7 Singapore","5-Room","Improved"," Built-1983","121 sqm / $422 psf(Built)",550000,"Resale",103.8986531,1.3675372,"325 hougang ave 7"," block 325"," singapore 530325","53","19","North-East"
"115",115,115,"  Blk 308A Punggol Walk Singapore","4-Room","Model A"," Built-2016","92 sqm / $555 psf(Built)",550000,"Resale",103.9005963,1.4076123,"308a punggol walk"," singapore 821308"," singapore 821308","82","19","North-East"
"116",116,116,"  Blk 213C Punggol Walk Singapore","4-Room","Model A"," Built-2015","93 sqm / $454 psf(Built)",455000,"Resale",103.8987968,1.4008405,"213c punggol walk"," singapore 828792"," singapore 828792","82","19","North-East"
"117",117,117,"  Blk 23B Queen's Close Singapore","4-Room","Improved"," Built-1973","89 sqm / $467 psf(Built)",448000,"Resale",103.8004802,1.293681,"23b queen's cl"," block 23b"," singapore 141023","14","03","Central"
"118",118,118,"  Blk 68 Redhill Close Singapore","4-Room","Model A"," Built-2001","85 sqm / $612 psf(Built)",560000,"Resale",103.8160563,1.2868666,"68 redhill cl"," block 68"," singapore 150068","15","03","Central"
"119",119,119,"  Blk 298C Compassvale Street Singapore","HDB Executive","Executive Apartment"," Built-2001","134 sqm / $402 psf(Built)",580000,"Resale",103.9014441,1.3964075,"298c compassvale st"," singapore 543298"," singapore 543298","54","19","North-East"
"120",120,120,"  Blk 807C Choa Chu Kang Avenue 1 Singapore","4-Room","Model A"," Built-2015","92 sqm / $493 psf(Built)",488888,"Resale",103.7455959,1.376412,"807c choa chu kang ave 1"," singapore 683807"," singapore 683807","68","23","West"
