"","flat_type","town","ID","Town/Name","Project Name","End of MOP","Launch Date","Year Completed","Total Units","lon","lat","Type","num_of_units","price1"
"228","2-Room","YISHUN","M110","Yishun","Casa Spring @ Yishun",2026,"22 May 2018",2021,429,103.8501402,1.4257168,"MOP",429,271825.564021739
"229","2-Room","YISHUN","M111","Yishun","Yishun Glen",2027,"28 Aug 2018",2022,727,103.846063,1.4301457,"MOP",727,271825.564021739
"231","3-Room","ANG MO KIO","M112","Ang Mo Kio","Teck Ghee Parkview",2022,"27 Sep 2012",2017,130,103.8572746,1.3685704,"MOP",130,303366.207604391
"234","3-Room","ANG MO KIO","M113","Ang Mo Kio","Cheng San Court",2023,"27 Sep 2012",2018,178,103.8536139,1.3712675,"MOP",178,303366.207604391
"235","3-Room","ANG MO KIO","M114","Ang Mo Kio","Yio Chu Kang Beacon",2028,"12 Nov 2019",2023,87,103.8418911,1.3833851,"MOP",87,303366.207604391
"236","3-Room","BEDOK","M115","Bedok","Fengshan GreenVille",2023,"21 Nov 2012",2018,182,103.9413278,1.3316628,"MOP",182,301540.892204262
"239","3-Room","BEDOK","M116","Bedok","Bedok North Vale",2025,"22 Nov 2016",2020,94,103.925242,1.3303879,"MOP",94,301540.892204262
"240","3-Room","BEDOK","M117","Bedok","Bedok North Woods",2025,"24 May 2016",2020,110,103.9328077,1.3294743,"MOP",110,301540.892204262
"241","3-Room","BEDOK","M118","Bedok","Ping Yi Greens",2020,"28 Mar 2012",2015,84,103.9232223,1.3275598,"MOP",84,301540.892204262
"242","3-Room","BIDADARI","M119","Bidadari","Alkaff Oasis",2025,"24 Feb 2016",2020,340,103.8727282,1.3346028,"MOP",340,452845.25065
"243","3-Room","BIDADARI","M120","Bidadari","Woodleigh Village",2026,"22 Nov 2016",2021,171,103.8707373,1.3391274,"MOP",171,452845.25065
"245","3-Room","BIDADARI","M121","Bidadari","Woodleigh Glen",2026,"22 Nov 2016",2021,130,103.8716317,1.3407875,"MOP",130,452845.25065
"246","3-Room","BIDADARI","M122","Bidadari","Alkaff CourtView",2025,"17 Nov 2015",2020,369,103.8718446,1.3365945,"MOP",369,452845.25065
"247","3-Room","BIDADARI","M123","Bidadari","Woodleigh Hillside",2027,"18 May 2017",2022,143,103.875035,1.3425497,"MOP",143,452845.25065
"248","3-Room","BIDADARI","M124","Bidadari","Alkaff LakeView",2024,"17 Nov 2015",2019,198,103.8722204,1.3363156,"MOP",198,452845.25065
"249","3-Room","BISHAN","M125","Bishan","Bishan Towers",2030,"12 Aug 2020",2025,80,103.8435261,1.3573749,"MOP",80,326211.569835417
"250","3-Room","BUKIT BATOK","M126","Bukit Batok","Sky Vista",2027,"01 Aug 2017",2022,134,103.742288,1.3620166,"MOP",134,291661.291454773
"251","3-Room","BUKIT BATOK","M127","Bukit Batok","Bukit Gombak Vista",2022,"22 Jan 2014",2017,130,103.7502324,1.3594135,"MOP",130,291661.291454773
"253","3-Room","BUKIT BATOK","M128","Bukit Batok","Skyline I @ Bukit Batok",2021,"28 Mar 2012",2016,78,103.7454697,1.344939,"MOP",78,291661.291454773
"254","3-Room","BUKIT BATOK","M129","Bukit Batok","West Quarry @ Bukit Batok",2024,"17 Nov 2015",2019,79,103.7393258,1.3542492,"MOP",79,291661.291454773
"255","3-Room","BUKIT BATOK","M130","Bukit Batok","Skyline II @ Bukit Batok",2022,"28 Mar 2012",2017,136,103.7480459,1.3437583,"MOP",136,291661.291454773
"256","3-Room","BUKIT BATOK","M131","Bukit Batok","West Valley @ Bukit Batok",2023,"22 May 2014",2018,216,103.7411051,1.3520013,"MOP",216,291661.291454773
"258","3-Room","BUKIT BATOK","M132","Bukit Batok","West Edge @ Bukit Batok",2024,"11 Feb 2015",2019,108,103.7399914,1.3590445,"MOP",108,291661.291454773
"259","3-Room","BUKIT BATOK","M133","Bukit Batok","West Ridges @ Bukit Batok",2023,"26 Nov 2013",2018,235,103.7385589,1.3558015,"MOP",235,291661.291454773
"260","3-Room","BUKIT BATOK","M134","Bukit Batok","SkyPeak @ Bukit Batok",2022,"21 Mar 2013",2017,110,103.7546414,1.3447804,"MOP",110,291661.291454773
"261","3-Room","BUKIT BATOK","M135","Bukit Batok","West Scape",2026,"01 Aug 2017",2021,118,103.742288,1.3620166,"MOP",118,291661.291454773
"262","3-Room","BUKIT BATOK","M136","Bukit Batok","West Plains @ Bukit Batok",2025,"24 Feb 2016",2020,187,103.7422631,1.3580589,"MOP",187,291661.291454773
"263","3-Room","BUKIT BATOK","M137","Bukit Batok","West Terra & Bukit Batok",2023,"24 Sep 2014",2018,261,103.7420189,1.3522808,"MOP",261,291661.291454773
"264","3-Room","BUKIT MERAH","M138","Bukit Merah","Depot Heights",2021,"31 Jul 2012",2016,128,103.8092881,1.2810873,"MOP",128,353088.347975673
"265","3-Room","BUKIT MERAH","M139","Bukit Merah","Telok Blangah ParcView",2022,"30 Jul 2013",2017,386,103.8075668,1.2762338,"MOP",386,353088.347975673
"266","3-Room","BUKIT MERAH","M140","Bukit Merah","Telok Blangah Ridgeview",2021,"31 Jul 2012",2016,96,103.8108498,1.2762179,"MOP",96,353088.347975673
"267","3-Room","BUKIT PANJANG","M141","Bukit Panjang","Senja Valley",2026,"24 May 2016",2021,105,103.7634149,1.3885828,"MOP",105,325689.222913019
"268","3-Room","BUKIT PANJANG","M142","Bukit Panjang","Fajar Hills",2020,"28 Mar 2012",2015,146,103.7708612,1.3810669,"MOP",146,325689.222913019
"270","3-Room","BUKIT PANJANG","M143","Bukit Panjang","Senja Heights",2026,"24 May 2016",2021,85,103.761581,1.381349,"MOP",85,325689.222913019
"273","3-Room","CHOA CHU KANG","M144","Choa Chu Kang","Keat Hong Verge",2028,"12 Aug 2020",2023,118,103.7456835,1.3850933,"MOP",118,320925.727216585
"274","3-Room","CHOA CHU KANG","M145","Choa Chu Kang","Keat Hong Crest",2022,"30 May 2013",2017,146,103.7433614,1.3744888,"MOP",146,320925.727216585
"275","3-Room","CHOA CHU KANG","M146","Choa Chu Kang","Keat Hong Colours",2021,"29 Jan 2013",2016,136,103.7460476,1.3734679,"MOP",136,320925.727216585
"276","3-Room","CHOA CHU KANG","M147","Choa Chu Kang","Teck Whye View",2027,"06 Feb 2018",2022,84,103.7585205,1.3799105,"MOP",84,320925.727216585
"277","3-Room","CHOA CHU KANG","M148","Choa Chu Kang","Keat Kong Mirage",2021,"21 Nov 2012",2016,114,103.749297,1.3766345,"MOP",114,320925.727216585
"278","3-Room","CHOA CHU KANG","M149","Choa Chu Kang","Keat Hong Pride",2021,"30 May 2012",2016,80,103.7423207,1.3729806,"MOP",80,320925.727216585
"279","3-Room","CHOA CHU KANG","M150","Choa Chu Kang","Keat Hong Axis",2021,"31 Jul 2012",2016,140,103.7448487,1.375306,"MOP",140,320925.727216585
"280","3-Room","CHOA CHU KANG","M151","Choa Chu Kang","Sunshine Gardens",2020,"12 Jan 2012",2015,118,103.7402665,1.3763898,"MOP",118,320925.727216585
"282","3-Room","CLEMENTI","M152","Clementi","Clementi Gateway",2021,"31 Jul 2012",2016,134,103.7624548,1.3224914,"MOP",134,316474.113288173
"283","3-Room","CLEMENTI","M153","Clementi","Clementi Peaks",2027,"14 Feb 2017",2022,70,103.7680058,1.3107835,"MOP",70,316474.113288173
"284","3-Room","CLEMENTI","M154","Clementi","Clementi Ridges",2021,"28 Mar 2012",2016,156,103.7645932,1.3195866,"MOP",156,316474.113288173
"285","3-Room","CLEMENTI","M155","Clementi","Clementi NorthArc",2027,"14 Feb 2017",2022,148,103.7621079,1.323519,"MOP",148,316474.113288173
"287","3-Room","GEYLANG","M156","Geylang","Greentops @ Sims Place",2020,"31 Jul 2012",2015,142,103.8796619,1.3165145,"MOP",142,285933.717121313
"288","3-Room","GEYLANG","M157","Geylang","MacPherson Spring",2024,"11 Feb 2015",2019,204,103.8894844,1.3241946,"MOP",204,285933.717121313
"289","3-Room","GEYLANG","M158","Geylang","Pine Vista",2025,"18 May 2017",2020,183,103.8857594,1.3105538,"MOP",183,285933.717121313
"290","3-Room","GEYLANG","M159","Geylang","Dakota One",2030,"12 Aug 2020",2025,87,103.8871123,1.3201362,"MOP",87,285933.717121313
"291","3-Room","GEYLANG","M160","Geylang","Dakota Breeze",2026,"18 May 2017",2021,117,103.8890051,1.3093954,"MOP",117,285933.717121313
"292","3-Room","GEYLANG","M161","Geylang","Eunos Court",2027,"14 Nov 2017",2022,97,103.901417,1.3205992,"MOP",97,285933.717121313
"293","3-Room","GEYLANG","M162","Geylang","Ubi Grove",2027,"06 Feb 2018",2022,80,103.8992134,1.3267949,"MOP",80,285933.717121313
"294","3-Room","GEYLANG","M163","Geylang","MacPherson Residency",2020,"28 Mar 2012",2015,211,103.8886982,1.3294,"MOP",211,285933.717121313
"295","3-Room","HOUGANG","M164","Hougang","Hougang ParkEdge",2021,"29 Jan 2013",2016,136,103.9006596,1.3763946,"MOP",136,302118.276238831
"296","3-Room","HOUGANG","M165","Hougang","Buangkok Square",2023,"24 Sep 2014",2018,116,103.8838604,1.3853958,"MOP",116,302118.276238831
"297","3-Room","HOUGANG","M166","Hougang","Capeview",2020,"24 Nov 2011",2015,108,103.9040751,1.3792987,"MOP",108,302118.276238831
"299","3-Room","HOUGANG","M167","Hougang","Buangkok Tropica",2023,"11 Feb 2015",2018,90,103.8820399,1.385146,"MOP",90,302118.276238831
"302","3-Room","HOUGANG","M168","Hougang","Hougang Meadow",2022,"26 Nov 2013",2017,188,103.8973755,1.369313,"MOP",188,302118.276238831
"304","3-Room","HOUGANG","M169","Hougang","Buangkok Woods",2024,"17 Aug 2016",2019,97,103.8832865,1.3851951,"MOP",97,302118.276238831
"305","3-Room","HOUGANG","M170","Hougang","Hougang Crimson",2021,"30 May 2013",2016,104,103.8818666,1.3752041,"MOP",104,302118.276238831
"306","3-Room","HOUGANG","M171","Hougang","Buangkok Parkvista",2023,"11 Feb 2015",2018,95,103.8803685,1.3840108,"MOP",95,302118.276238831
"307","3-Room","JURONG EAST","M172","Jurong East","Teban View",2020,"22 Sep 2011",2015,185,103.7374775,1.3219125,"MOP",185,299093.426949917
"308","3-Room","JURONG WEST","M173","Jurong West","Yung Ho Spring II",2023,"24 Sep 2014",2018,95,103.722392,1.3267143,"MOP",95,289281.412314246
"309","3-Room","JURONG WEST","M174","Jurong West","Yung Ho Spring I",2023,"24 Sep 2014",2018,135,103.7233696,1.3268606,"MOP",135,289281.412314246
