"","flat_type","town","ID","Town/Name","Project Name","End of MOP","Launch Date","Year Completed","Total Units","lon","lat","Type","num_of_units","price1"
"733","5-Room","CHOA CHU KANG","M526","Choa Chu Kang","Keat Kong Mirage",2021,"21 Nov 2012",2016,486,103.749297,1.3766345,"MOP",486,478833.720754571
"734","5-Room","CHOA CHU KANG","M527","Choa Chu Kang","Sunshine Gardens",2020,"12 Jan 2012",2015,518,103.7402665,1.3763898,"MOP",518,478833.720754571
"735","5-Room","CHOA CHU KANG","M528","Choa Chu Kang","Keat Hong Crest",2022,"30 May 2013",2017,208,103.7433614,1.3744888,"MOP",208,478833.720754571
"736","5-Room","CHOA CHU KANG","M529","Choa Chu Kang","Keat Hong Quad",2021,"27 Sep 2012",2016,190,103.7465288,1.376422,"MOP",190,478833.720754571
"738","5-Room","CHOA CHU KANG","M530","Choa Chu Kang","Keat Hong Pride",2021,"30 May 2012",2016,407,103.7423207,1.3729806,"MOP",407,478833.720754571
"741","5-Room","CLEMENTI","M531","Clementi","Clementi Ridges",2021,"28 Mar 2012",2016,216,103.7645932,1.3195866,"MOP",216,614812.477800971
"742","5-Room","CLEMENTI","M532","Clementi","Clementi Peaks",2027,"14 Feb 2017",2022,117,103.7680058,1.3107835,"MOP",117,614812.477800971
"743","5-Room","CLEMENTI","M533","Clementi","Clementi NorthArc",2027,"14 Feb 2017",2022,404,103.7621079,1.323519,"MOP",404,614812.477800971
"744","5-Room","CLEMENTI","M534","Clementi","Clementi Crest",2025,"27 May 2015",2020,156,103.7639162,1.3133352,"MOP",156,614812.477800971
"755","5-Room","HOUGANG","M535","Hougang","Hougang ParkEdge",2021,"29 Jan 2013",2016,238,103.9006596,1.3763946,"MOP",238,516812.083845877
"756","5-Room","HOUGANG","M536","Hougang","Capeview",2020,"24 Nov 2011",2015,244,103.9040751,1.3792987,"MOP",244,516812.083845877
"761","5-Room","HOUGANG","M537","Hougang","Buangkok Edgeview",2022,"24 Sep 2014",2017,179,103.8811592,1.3847847,"MOP",179,516812.083845877
"763","5-Room","HOUGANG","M538","Hougang","Hougang RiverCourt",2025,"17 Nov 2015",2020,83,103.8946885,1.3626123,"MOP",83,516812.083845877
"768","5-Room","JURONG WEST","M539","Jurong West","Boon Lay Glade",2027,"12 Feb 2019",2022,97,103.6936205,1.3354284,"MOP",97,491255.670239681
"769","5-Room","JURONG WEST","M540","Jurong West","Jurong West Jewel",2027,"12 Feb 2019",2022,153,103.6936205,1.3354284,"MOP",153,491255.670239681
"770","5-Room","JURONG WEST","M541","Jurong West","Boon Lay View",2022,"26 Nov 2013",2017,252,103.7109866,1.3504655,"MOP",252,491255.670239681
"772","5-Room","JURONG WEST","M542","Jurong West","Yung Kuang Court",2022,"26 Nov 2013",2017,226,103.7214902,1.3314879,"MOP",226,491255.670239681
"783","5-Room","PASIR RIS","M543","Pasir Ris","Costa Grove",2030,"12 Aug 2020",2025,325,103.9472922,1.3773575,"MOP",325,506802.403823087
"784","5-Room","PUNGGOL","M544","Punggol","Punggol Point Crown",2028,"11 Sep 2019",2023,230,103.9110284,1.4193302,"MOP",230,523159.806982215
"785","5-Room","PUNGGOL","M545","Punggol","Waterway Terraces II",2020,"25 Apr 2011",2015,246,103.9007848,1.4093609,"MOP",246,523159.806982215
"786","5-Room","PUNGGOL","M546","Punggol","Matilda Sundeck",2025,"22 Nov 2016",2020,195,103.8921881,1.4028105,"MOP",195,523159.806982215
"788","5-Room","PUNGGOL","M547","Punggol","Waterway Woodcress",2020,"22 Sep 2011",2015,244,103.909202,1.4059811,"MOP",244,523159.806982215
"789","5-Room","PUNGGOL","M548","Punggol","Punggol Topaz",2020,"22 Dec 2010",2015,284,103.8962771,1.4048583,"MOP",284,523159.806982215
"790","5-Room","PUNGGOL","M549","Punggol","Northshore Cove",2026,"14 Feb 2017",2021,170,103.9062482,1.4199116,"MOP",170,523159.806982215
"792","5-Room","PUNGGOL","M550","Punggol","Northshore StraitsView",2025,"17 Nov 2015",2020,190,103.9022587,1.4160392,"MOP",190,523159.806982215
"793","5-Room","PUNGGOL","M551","Punggol","Waterway View",2022,"26 Sep 2013",2017,341,103.9162668,1.4034847,"MOP",341,523159.806982215
"794","5-Room","PUNGGOL","M552","Punggol","Waterway Sunbeam",2020,"12 Jan 2012",2015,216,103.9172233,1.3995851,"MOP",216,523159.806982215
"795","5-Room","PUNGGOL","M553","Punggol","Northshore Residences I",2025,"27 May 2015",2020,89,103.9016318,1.4162076,"MOP",89,523159.806982215
"796","5-Room","PUNGGOL","M554","Punggol","Punggol Point Cove",2029,"11 Sep 2019",2024,173,103.9110284,1.4193302,"MOP",173,523159.806982215
"797","5-Room","PUNGGOL","M555","Punggol","Punggol Edge",2021,"30 May 2012",2016,160,103.9093692,1.3940868,"MOP",160,523159.806982215
"798","5-Room","PUNGGOL","M556","Punggol","Waterway Brooks",2020,"22 Sep 2011",2015,465,103.909202,1.4059811,"MOP",465,523159.806982215
"800","5-Room","PUNGGOL","M557","Punggol","Waterway Cascadia",2021,"31 Jul 2012",2016,267,103.8971675,1.4089818,"MOP",267,523159.806982215
"803","5-Room","PUNGGOL","M558","Punggol","The Verandah @ Matilda",2022,"26 Sep 2013",2017,223,103.8934565,1.4026592,"MOP",223,523159.806982215
"804","5-Room","PUNGGOL","M559","Punggol","Waterfront I @ Northshore",2025,"17 Nov 2015",2020,106,103.9022587,1.4160392,"MOP",106,523159.806982215
"805","5-Room","PUNGGOL","M560","Punggol","Waterfront II @ Northshore",2025,"17 Nov 2015",2020,141,103.9017599,1.4184607,"MOP",141,523159.806982215
"806","5-Room","PUNGGOL","M561","Punggol","Northshore Edge",2026,"14 Nov 2017",2021,196,103.9012265,1.4148738,"MOP",196,523159.806982215
"807","5-Room","PUNGGOL","M562","Punggol","Punggol Point Woods",2028,"28 Aug 2018",2023,122,103.9107426,1.4171146,"MOP",122,523159.806982215
"808","5-Room","PUNGGOL","M563","Punggol","Punggol Point Cove",2028,"28 Aug 2018",2023,234,103.9110284,1.4193302,"MOP",234,523159.806982215
"809","5-Room","PUNGGOL","M564","Punggol","Waterway Sunray",2022,"19 Jul 2014",2017,188,103.9188218,1.4006575,"MOP",188,523159.806982215
"810","5-Room","PUNGGOL","M565","Punggol","Waterway Terraces",2020,"30 Jun 2010",2015,306,103.9007848,1.4093609,"MOP",306,523159.806982215
"811","5-Room","PUNGGOL","M566","Punggol","Matilda Court",2022,"19 Jul 2014",2017,350,103.8909577,1.4023353,"MOP",350,523159.806982215
"812","5-Room","PUNGGOL","M567","Punggol","Punggol Bayview",2023,"22 Jan 2014",2018,380,103.896661,1.4100354,"MOP",380,523159.806982215
"813","5-Room","PUNGGOL","M568","Punggol","Matilda Portico",2021,"21 Mar 2013",2016,219,103.8956448,1.4028181,"MOP",219,523159.806982215
"814","5-Room","PUNGGOL","M569","Punggol","Waterway Ridges",2020,"24 Nov 2011",2015,246,103.9132209,1.4059009,"MOP",246,523159.806982215
"815","5-Room","PUNGGOL","M570","Punggol","Northshore Residences II",2025,"27 May 2015",2020,136,103.9016318,1.4162076,"MOP",136,523159.806982215
"816","5-Room","PUNGGOL","M571","Punggol","Waterway SunDew",2021,"30 May 2012",2016,262,103.9182035,1.4020224,"MOP",262,523159.806982215
"817","5-Room","PUNGGOL","M572","Punggol","Waterway Sunrise I",2026,"22 Nov 2016",2021,138,103.9199535,1.399918,"MOP",138,523159.806982215
"822","5-Room","SEMBAWANG","M573","Sembawang","EastWave @ Canberra",2022,"30 May 2013",2017,335,103.8313172,1.4455753,"MOP",335,462728.184351793
"823","5-Room","SEMBAWANG","M574","Sembawang","EastLawn @ Canberra",2022,"26 Nov 2013",2017,174,103.8319959,1.4482245,"MOP",174,462728.184351793
"824","5-Room","SEMBAWANG","M575","Sembawang","EastGlen @ Canberra",2025,"13 Nov 2018",2020,96,103.8299002,1.4482246,"MOP",96,462728.184351793
"826","5-Room","SEMBAWANG","M576","Sembawang","EastBank @ Canberra",2021,"30 May 2013",2016,179,103.8336057,1.4472603,"MOP",179,462728.184351793
"829","5-Room","SEMBAWANG","M577","Sembawang","EastDelta @ Canberra",2024,"17 Aug 2016",2019,266,103.8349355,1.4452428,"MOP",266,462728.184351793
"830","5-Room","SEMBAWANG","M578","Sembawang","Canberra Vista",2029,"11 Feb 2020",2024,221,103.8293357,1.4399446,"MOP",221,462728.184351793
"831","5-Room","SEMBAWANG","M579","Sembawang","EastCreek @ Canberra",2024,"24 May 2016",2019,176,103.8304504,1.451342,"MOP",176,462728.184351793
"832","5-Room","SEMBAWANG","M580","Sembawang","EastCrown @ Canberra",2022,"26 Mar 2014",2017,274,103.8318826,1.444703,"MOP",274,462728.184351793
"834","5-Room","SENGKANG","M581","Sengkang","Compassvale Boardwalk",2020,"30 May 2012",2015,222,103.8959766,1.3965841,"MOP",222,499126.983522162
"835","5-Room","SENGKANG","M582","Sengkang","Fernvale Lea",2020,"12 Jan 2012",2015,350,103.8780162,1.3959613,"MOP",350,499126.983522162
"836","5-Room","SENGKANG","M583","Sengkang","Rivervale Shores",2027,"01 Aug 2017",2022,574,103.9098991,1.38712,"MOP",574,499126.983522162
"837","5-Room","SENGKANG","M584","Sengkang","Fernvale Glades",2026,"14 Nov 2017",2021,221,103.8707038,1.3949256,"MOP",221,499126.983522162
"838","5-Room","SENGKANG","M585","Sengkang","Fernvale Vines",2028,"12 Feb 2019",2023,148,103.8766905,1.3983676,"MOP",148,499126.983522162
"839","5-Room","SENGKANG","M586","Sengkang","Fernvale Dew",2027,"22 May 2018",2022,90,103.8701991,1.3898356,"MOP",90,499126.983522162
"840","5-Room","SENGKANG","M587","Sengkang","Compassvale Cape",2021,"21 Mar 2013",2016,440,103.8958944,1.3983812,"MOP",440,499126.983522162
"842","5-Room","SENGKANG","M588","Sengkang","Anchorvale Parkview",2022,"26 Mar 2014",2017,165,103.8896595,1.399153,"MOP",165,499126.983522162
"843","5-Room","SENGKANG","M589","Sengkang","Fernvale Woods",2024,"17 Nov 2015",2019,192,103.8709559,1.3913936,"MOP",192,499126.983522162
"844","5-Room","SENGKANG","M590","Sengkang","Fernvale Rivergrove",2020,"22 Sep 2011",2015,252,103.8805131,1.3966499,"MOP",252,499126.983522162
"846","5-Room","SENGKANG","M591","Sengkang","Rivervale Delta",2021,"21 Nov 2012",2016,357,103.9087122,1.3899685,"MOP",357,499126.983522162
"847","5-Room","SENGKANG","M592","Sengkang","Fernvale Acres",2026,"13 Nov 2018",2021,132,103.8713274,1.389063,"MOP",132,499126.983522162
"848","5-Room","SENGKANG","M593","Sengkang","Compassvale Mast",2021,"21 Nov 2012",2016,359,103.8941708,1.3904738,"MOP",359,499126.983522162
"849","5-Room","SENGKANG","M594","Sengkang","Compassvale Helm",2021,"21 Mar 2013",2016,207,103.8908012,1.3819117,"MOP",207,499126.983522162
"850","5-Room","SENGKANG","M595","Sengkang","Anchorvale Plains",2025,"24 Feb 2016",2020,117,103.8851063,1.3929584,"MOP",117,499126.983522162
"852","5-Room","TAMPINES","M596","Tampines","Tampines GreenBloom",2025,"14 Feb 2017",2020,111,103.9300129,1.3526458,"MOP",111,541567.683181004
"853","5-Room","TAMPINES","M597","Tampines","Tampines GreenSpring",2028,"12 Nov 2019",2023,193,103.9405828,1.3546125,"MOP",193,541567.683181004
"854","5-Room","TAMPINES","M598","Tampines","Tampines GreenWeave",2024,"27 May 2015",2019,391,103.9406903,1.3534975,"MOP",391,541567.683181004
"855","5-Room","TAMPINES","M599","Tampines","Tampines GreenFoliage",2026,"06 Feb 2018",2021,232,103.943079,1.365855,"MOP",232,541567.683181004
"856","5-Room","TAMPINES","M600","Tampines","Tampines GreenGlen",2028,"11 Sep 2019",2023,319,103.9483686,1.3554734,"MOP",319,541567.683181004
"857","5-Room","TAMPINES","M601","Tampines","Tampines GreenGlade",2028,"12 Aug 2020",2023,175,103.9346015,1.3670023,"MOP",175,541567.683181004
"858","5-Room","TAMPINES","M602","Tampines","Tampines GreenVerge",2026,"17 Aug 2016",2021,612,103.940028,1.3618271,"MOP",612,541567.683181004
"859","5-Room","TAMPINES","M603","Tampines","Tampines GreenCrest",2028,"12 Aug 2020",2023,112,103.9406903,1.3534975,"MOP",112,541567.683181004
"860","5-Room","TAMPINES","M604","Tampines","Tampines Greenlace",2021,"27 Sep 2012",2016,165,103.9313057,1.3567879,"MOP",165,541567.683181004
"861","5-Room","TAMPINES","M605","Tampines","Tampines GreenView",2024,"17 Aug 2016",2019,207,103.9346505,1.3653478,"MOP",207,541567.683181004
"862","5-Room","TAMPINES","M606","Tampines","Tampines GreenDew",2026,"06 Feb 2018",2021,308,103.9393898,1.3672436,"MOP",308,541567.683181004
"863","5-Room","TAMPINES","M607","Tampines","Tampines GreenOpal",2030,"12 Aug 2020",2025,430,103.9406903,1.3534975,"MOP",430,541567.683181004
"864","5-Room","TAMPINES","M608","Tampines","Tampines GreenCourt",2027,"14 Nov 2017",2022,586,103.9418589,1.363855,"MOP",586,541567.683181004
"865","5-Room","TAMPINES","M609","Tampines","Tampines GreenRidges",2024,"25 Nov 2014",2019,246,103.9370231,1.3605525,"MOP",246,541567.683181004
"866","5-Room","TAMPINES","M610","Tampines","Tampines GreenGem",2028,"13 Nov 2018",2023,330,103.9356845,1.3435212,"MOP",330,541567.683181004
"867","5-Room","TAMPINES","M611","Tampines","Tampines GreenFlora",2025,"14 Feb 2017",2020,125,103.930882,1.3542245,"MOP",125,541567.683181004
"869","5-Room","TAMPINES","M612","Tampines","Tampines GreenVines",2027,"22 May 2018",2022,457,103.9447821,1.3655031,"MOP",457,541567.683181004
"870","5-Room","TAMPINES","M613","Tampines","Tampines GreenEdge",2022,"25 Nov 2014",2017,99,103.9554444,1.3631229,"MOP",99,541567.683181004
"871","5-Room","TENGAH","M614","Tengah","Garden Vines @ Tengah",2028,"12 Nov 2019",2023,191,103.7317692,1.3611945,"MOP",191,671111.58275
"872","5-Room","TENGAH","M615","Tengah","Plantation Grove",2028,"13 Nov 2018",2023,395,103.7308145,1.3555189,"MOP",395,671111.58275
"873","5-Room","TENGAH","M616","Tengah","Plantation Acres",2027,"22 May 2019",2022,259,103.7308145,1.3555189,"MOP",259,671111.58275
"874","5-Room","TENGAH","M617","Tengah","Plantation Grange",2027,"12 Nov 2019",2022,258,103.7308252,1.3554331,"MOP",258,671111.58275
"875","5-Room","TENGAH","M618","Tengah","Garden Vale @ Tengah",2028,"22 May 2019",2023,212,103.7333249,1.3598323,"MOP",212,671111.58275
"876","5-Room","TENGAH","M619","Tengah","Parc Residences @ Tengah",2030,"12 Aug 2020",2025,184,103.7308145,1.3555189,"MOP",184,671111.58275
"877","5-Room","TENGAH","M620","Tengah","Plantation Village",2028,"12 Nov 2019",2023,398,103.7340544,1.3585237,"MOP",398,671111.58275
"885","5-Room","WOODLANDS","M621","Woodlands","Marsiling Greenview",2023,"22 May 2014",2018,382,103.7765789,1.4351462,"MOP",382,424636.639878843
"886","5-Room","WOODLANDS","M622","Woodlands","Admiralty Grove",2022,"26 Nov 2013",2017,168,103.8037955,1.4379932,"MOP",168,424636.639878843
"888","5-Room","WOODLANDS","M623","Woodlands","Admiralty Flora",2022,"22 May 2014",2017,181,103.8060758,1.4401822,"MOP",181,424636.639878843
"889","5-Room","WOODLANDS","M624","Woodlands","TreeTrail @ Woodlands",2021,"27 Sep 2012",2016,234,103.793133,1.437782,"MOP",234,424636.639878843
"890","5-Room","WOODLANDS","M625","Woodlands","Champions Green",2028,"22 May 2019",2023,135,103.790016,1.4272453,"MOP",135,424636.639878843
"895","5-Room","WOODLANDS","M626","Woodlands","UrbanVille @ Woodlands",2031,"12 Aug 2020",2026,438,103.7889597,1.4381922,"MOP",438,424636.639878843
"896","5-Room","WOODLANDS","M627","Woodlands","Marsiling Grove",2027,"18 May 2017",2022,187,103.7745925,1.4367209,"MOP",187,424636.639878843
"897","5-Room","WOODLANDS","M628","Woodlands","Woodlands Pasture I & II",2022,"30 May 2013",2017,353,103.8047285,1.4465516,"MOP",353,424636.639878843
"899","5-Room","WOODLANDS","M629","Woodlands","Woodlands Glade",2026,"06 Feb 2018",2021,90,103.8023954,1.4495841,"MOP",90,424636.639878843
"900","5-Room","YISHUN","M630","Yishun","Palm Breeze @ Yishun",2021,"26 Sep 2013",2016,176,103.8400963,1.4165297,"MOP",176,472555.606258971
"902","5-Room","YISHUN","M631","Yishun","Angsana Breeze @ Yishun",2022,"30 Jul 2013",2017,252,103.8393106,1.4142876,"MOP",252,472555.606258971
"903","5-Room","YISHUN","M632","Yishun","Park Grove @ Yishun",2022,"19 Jul 2014",2017,216,103.8434644,1.4215242,"MOP",216,472555.606258971
"905","5-Room","YISHUN","M633","Yishun","Forest Spring @ Yishun",2026,"18 May 2017",2021,100,103.8524002,1.4258525,"MOP",100,472555.606258971
"908","5-Room","YISHUN","M634","Yishun","Fern Grove @ Yishun",2022,"26 Mar 2014",2017,312,103.8420054,1.4205609,"MOP",312,472555.606258971
"909","5-Room","YISHUN","M635","Yishun","Melody Spring @ Yishun 2",2025,"13 Nov 2018",2020,108,103.8540588,1.4266597,"MOP",108,472555.606258971
"910","5-Room","YISHUN","M636","Yishun","Oleander Breeze @ Yishun",2021,"29 Jan 2013",2016,180,103.841643,1.4155753,"MOP",180,472555.606258971
"912","5-Room","YISHUN","M637","Yishun","Acacia Breeze",2020,"24 Nov 2011",2015,308,103.843994,1.4193772,"MOP",308,472555.606258971
"913","5-Room","YISHUN","M638","Yishun","Melody Spring @ Yishun 1",2026,"28 Aug 2018",2021,36,103.8540588,1.4266597,"MOP",36,472555.606258971
"914","5-Room","YISHUN","M639","Yishun","Casa Spring @ Yishun",2026,"22 May 2018",2021,180,103.8501402,1.4257168,"MOP",180,472555.606258971
"915","5-Room","YISHUN","M640","Yishun","Saraca Breeze @ Yishun",2022,"26 Sep 2013",2017,84,103.8443098,1.4158811,"MOP",84,472555.606258971
"916","5-Room","YISHUN","M641","Yishun","Yishun Glen",2027,"28 Aug 2018",2022,308,103.846063,1.4301457,"MOP",308,472555.606258971
"918","EXECUTIVE","ANG MO KIO","M642","Ang Mo Kio","Ang Mo Kio Court",2025,"24 May 2016",2020,52,103.840314,1.3682685,"MOP",52,743075.265836585
"929","EXECUTIVE","BIDADARI","M643","Bidadari","Alkaff Oasis",2025,"24 Feb 2016",2020,71,103.8727282,1.3346028,"MOP",71,NA
"934","EXECUTIVE","BIDADARI","M644","Bidadari","Woodleigh Hillside",2027,"18 May 2017",2022,48,103.875035,1.3425497,"MOP",48,NA
"938","EXECUTIVE","BUKIT BATOK","M645","Bukit Batok","West Rock @ Bukit Batok",2023,"11 Feb 2015",2018,58,103.7402898,1.355182,"MOP",58,633337.332873704
"954","EXECUTIVE","BUKIT PANJANG","M646","Bukit Panjang","Senja Ridges",2026,"24 May 2016",2021,62,103.761881,1.380845,"MOP",62,598132.446857441
"972","EXECUTIVE","CLEMENTI","M647","Clementi","Clementi NorthArc",2027,"14 Feb 2017",2022,98,103.7621079,1.323519,"MOP",98,691167.905675758
"987","EXECUTIVE","HOUGANG","M648","Hougang","Hougang RiverCourt",2025,"17 Nov 2015",2020,47,103.8946885,1.3626123,"MOP",47,639421.555197072
"990","EXECUTIVE","HOUGANG","M649","Hougang","Buangkok Edgeview",2022,"24 Sep 2014",2017,56,103.8811592,1.3847847,"MOP",56,639421.555197072
"999","EXECUTIVE","JURONG WEST","M650","Jurong West","Boon Lay Glade",2027,"12 Feb 2019",2022,27,103.6936205,1.3354284,"MOP",27,581068.631915311
"1001","EXECUTIVE","JURONG WEST","M651","Jurong West","Boon Lay View",2022,"26 Nov 2013",2017,112,103.7109866,1.3504655,"MOP",112,581068.631915311
"1014","EXECUTIVE","PUNGGOL","M652","Punggol","Waterfront I @ Northshore",2025,"17 Nov 2015",2020,49,103.9022587,1.4160392,"MOP",49,546735.410245378
"1020","EXECUTIVE","PUNGGOL","M653","Punggol","Waterfront II @ Northshore",2025,"17 Nov 2015",2020,48,103.9017599,1.4184607,"MOP",48,546735.410245378
"1022","EXECUTIVE","PUNGGOL","M654","Punggol","Punggol Bayview",2023,"22 Jan 2014",2018,52,103.896661,1.4100354,"MOP",52,546735.410245378
"1044","EXECUTIVE","PUNGGOL","M655","Punggol","Waterway Sunrise I",2026,"22 Nov 2016",2021,65,103.9199535,1.399918,"MOP",65,546735.410245378
"1045","EXECUTIVE","PUNGGOL","M656","Punggol","Punggol Point Cove",2028,"28 Aug 2018",2023,30,103.9110284,1.4193302,"MOP",30,546735.410245378
"1060","EXECUTIVE","SEMBAWANG","M657","Sembawang","Canberra Vista",2029,"11 Feb 2020",2024,45,103.8293357,1.4399446,"MOP",45,548176.317165421
"1066","EXECUTIVE","SENGKANG","M658","Sengkang","Anchorvale Parkview",2022,"26 Mar 2014",2017,70,103.8896595,1.399153,"MOP",70,560358.585102151
"1075","EXECUTIVE","SENGKANG","M659","Sengkang","Fernvale Glades",2026,"14 Nov 2017",2021,52,103.8707038,1.3949256,"MOP",52,560358.585102151
"1076","EXECUTIVE","SENGKANG","M660","Sengkang","Fernvale Vines",2028,"12 Feb 2019",2023,40,103.8766905,1.3983676,"MOP",40,560358.585102151
"1083","EXECUTIVE","TAMPINES","M661","Tampines","Tampines GreenRidges",2024,"25 Nov 2014",2019,56,103.9370231,1.3605525,"MOP",56,660402.669709009
"1084","EXECUTIVE","TAMPINES","M662","Tampines","Tampines GreenBloom",2025,"14 Feb 2017",2020,55,103.9300129,1.3526458,"MOP",55,660402.669709009
"1085","EXECUTIVE","TAMPINES","M663","Tampines","Tampines GreenVerge",2026,"17 Aug 2016",2021,60,103.940028,1.3618271,"MOP",60,660402.669709009
"1095","EXECUTIVE","TAMPINES","M664","Tampines","Tampines GreenFlora",2025,"14 Feb 2017",2020,41,103.930882,1.3542245,"MOP",41,660402.669709009
"1097","EXECUTIVE","TAMPINES","M665","Tampines","Tampines GreenWeave",2024,"27 May 2015",2019,56,103.9406903,1.3534975,"MOP",56,660402.669709009
"1102","EXECUTIVE","TENGAH","M666","Tengah","Plantation Grove",2028,"13 Nov 2018",2023,48,103.7308145,1.3555189,"MOP",48,NA
"1103","EXECUTIVE","TENGAH","M667","Tengah","Plantation Grange",2027,"12 Nov 2019",2022,39,103.7308252,1.3554331,"MOP",39,NA
"1114","EXECUTIVE","WOODLANDS","M668","Woodlands","Marsiling Greenview",2023,"22 May 2014",2018,50,103.7765789,1.4351462,"MOP",50,573794.518946142
"1128","EXECUTIVE","WOODLANDS","M669","Woodlands","Marsiling Grove",2027,"18 May 2017",2022,58,103.7745925,1.4367209,"MOP",58,573794.518946142
"1131","EXECUTIVE","YISHUN","M670","Yishun","Park Grove @ Yishun",2022,"19 Jul 2014",2017,48,103.8434644,1.4215242,"MOP",48,537365.417799644
"1134","EXECUTIVE","YISHUN","M671","Yishun","Saraca Breeze @ Yishun",2022,"26 Sep 2013",2017,84,103.8443098,1.4158811,"MOP",84,537365.417799644
"1137","EXECUTIVE","YISHUN","M672","Yishun","Casa Spring @ Yishun",2026,"22 May 2018",2021,48,103.8501402,1.4257168,"MOP",48,537365.417799644
"1146","Studio","ANG MO KIO","M673","Ang Mo Kio","Cheng San Court",2023,"27 Sep 2012",2018,171,103.8536139,1.3712675,"MOP",171,NA
"1153","Studio","BEDOK","M674","Bedok","Fengshan GreenVille",2023,"21 Nov 2012",2018,198,103.9413278,1.3316628,"MOP",198,NA
"1170","Studio","BUKIT BATOK","M675","Bukit Batok","Bukit Gombak Vista",2022,"22 Jan 2014",2017,156,103.7502324,1.3594135,"MOP",156,NA
"1180","Studio","BUKIT MERAH","M676","Bukit Merah","Depot Heights",2021,"31 Jul 2012",2016,114,103.8092881,1.2810873,"MOP",114,NA
"1182","Studio","BUKIT MERAH","M677","Bukit Merah","Telok Blangah ParcView",2022,"30 Jul 2013",2017,172,103.8075668,1.2762338,"MOP",172,NA
"1187","Studio","BUKIT TIMAH","M678","Bukit Timah","Golden Kismis",2020,"28 Mar 2012",2015,132,103.7719385,1.3383494,"MOP",132,NA
"1188","Studio","CHOA CHU KANG","M679","Choa Chu Kang","Sunshine Gardens",2020,"12 Jan 2012",2015,104,103.7402665,1.3763898,"MOP",104,NA
"1204","Studio","GEYLANG","M680","Geylang","Greentops @ Sims Place",2020,"31 Jul 2012",2015,196,103.8796619,1.3165145,"MOP",196,NA
"1205","Studio","GEYLANG","M681","Geylang","MacPherson Spring",2024,"11 Feb 2015",2019,168,103.8894844,1.3241946,"MOP",168,NA
"1212","Studio","HOUGANG","M682","Hougang","Dew Court",2020,"24 Nov 2011",2015,198,103.8935746,1.3635188,"MOP",198,NA
"1214","Studio","HOUGANG","M683","Hougang","Golden Mint",2021,"30 May 2013",2016,292,103.887186,1.3795496,"MOP",292,NA
"1227","Studio","JURONG WEST","M684","Jurong West","Golden Lavender",2022,"22 Jan 2014",2017,149,103.6964519,1.3422307,"MOP",149,NA
"1233","Studio","KALLANG/WHAMPOA","M685","Kallang/Whampoa","McNair Towers",2021,"30 May 2012",2016,270,103.8599708,1.3211714,"MOP",270,NA
"1235","Studio","KALLANG/WHAMPOA","M686","Kallang/Whampoa","Whampoa Dew",2022,"29 Jan 2013",2017,156,103.8555599,1.3250457,"MOP",156,NA
"1236","Studio","KALLANG/WHAMPOA","M687","Kallang/Whampoa","St. George’s Towers",2024,"24 Sep 2014",2019,151,103.862117,1.3222715,"MOP",151,NA
"1246","Studio","PUNGGOL","M688","Punggol","Waterway Brooks",2020,"22 Sep 2011",2015,156,103.909202,1.4059811,"MOP",156,NA
"1276","Studio","QUEENSTOWN","M689","Queenstown","Ghim Moh Edge",2022,"21 Nov 2012",2017,222,103.7837286,1.3087489,"MOP",222,NA
"1291","Studio","SENGKANG","M690","Sengkang","Fernvale Rivergrove",2020,"22 Sep 2011",2015,100,103.8805131,1.3966499,"MOP",100,NA
"1296","Studio","SENGKANG","M691","Sengkang","Compassvale Cape",2021,"21 Mar 2013",2016,168,103.8958944,1.3983812,"MOP",168,NA
"1297","Studio","SENGKANG","M692","Sengkang","Compassvale Helm",2021,"21 Mar 2013",2016,138,103.8908012,1.3819117,"MOP",138,NA
"1309","Studio","SERANGOON","M693","Serangoon","Golden Ginger",2022,"22 Jan 2014",2017,150,103.8735357,1.3667637,"MOP",150,NA
"1314","Studio","TAMPINES","M694","Tampines","Tampines GreenWeave",2024,"27 May 2015",2019,224,103.9406903,1.3534975,"MOP",224,NA
"1336","Studio","TOA PAYOH","M695","Toa Payoh","Golden Clover",2020,"28 Mar 2012",2015,188,103.8589847,1.3313306,"MOP",188,NA
"1338","Studio","TOA PAYOH","M696","Toa Payoh","Toa Payoh Crest",2022,"21 Nov 2012",2017,232,103.8432735,1.338039,"MOP",232,NA
"1343","Studio","WOODLANDS","M697","Woodlands","Woodlands Peak",2020,"27 May 2011",2015,127,103.7750909,1.431815,"MOP",127,NA
"1350","Studio","WOODLANDS","M698","Woodlands","Kampung Admiralty",2022,"19 Jul 2014",2017,104,103.8007771,1.439603,"MOP",104,NA
"1355","Studio","WOODLANDS","M699","Woodlands","Golden Saffron",2020,"27 Sep 2012",2015,128,103.797924,1.4448482,"MOP",128,NA
"1362","Studio","YISHUN","M700","Yishun","Khatib Court",2022,"26 Sep 2013",2017,143,103.8328343,1.4182878,"MOP",143,NA
