address,flat_type,avg resale price,lon,lat
103B DEPOT RD SINGAPORE,5 ROOM,651250,103.8130737,1.2808119
103B EDGEFIELD PLAINS SINGAPORE,5 ROOM,419500,103.9047474,1.3978525
103C EDGEFIELD PLAINS SINGAPORE,5 ROOM,398571.4285714286,103.9045661,1.3974138
104 ALJUNIED CRES SINGAPORE,4 ROOM,500000,103.88277,1.3200997
104 BEDOK NTH AVE 4 SINGAPORE,3 ROOM,283500,103.936605,1.3332562
104 BEDOK NTH AVE 4 SINGAPORE,4 ROOM,368000,103.936605,1.3332562
104 BEDOK RESERVOIR RD SINGAPORE,5 ROOM,456666.6666666667,103.9098223,1.3292763
104 BISHAN ST 12 SINGAPORE,3 ROOM,410000,103.848026,1.345674
104 BT BATOK CTRL SINGAPORE,4 ROOM,433000,103.7472936,1.348997
104 BT PURMEI RD SINGAPORE,3 ROOM,359666.6666666667,103.8257478,1.2724898
104 CLEMENTI ST 14 SINGAPORE,EXECUTIVE,820000,103.7692429,1.3229784
104 GANGSA RD SINGAPORE,3 ROOM,288972,103.767855,1.378851
104 GANGSA RD SINGAPORE,4 ROOM,347500,103.767855,1.378851
104 HENDERSON CRES SINGAPORE,4 ROOM,402000,103.8214223,1.2894146
104 JLN DUSUN SINGAPORE,4 ROOM,488000,103.8446805,1.3285514
104 JLN RAJAH SINGAPORE,4 ROOM,436500,103.8532832,1.327917
104 JLN RAJAH SINGAPORE,5 ROOM,665000,103.8532832,1.327917
104 JURONG EAST ST 13 SINGAPORE,3 ROOM,342500,103.7376509,1.3366371
104 LENGKONG TIGA SINGAPORE,EXECUTIVE,850800,103.9098223,1.3259105
104 PASIR RIS ST 12 SINGAPORE,4 ROOM,385750,103.9588599,1.3678583
104 PASIR RIS ST 12 SINGAPORE,5 ROOM,461333.3333333333,103.9588599,1.3678583
104 POTONG PASIR AVE 1 SINGAPORE,3 ROOM,395083.3333333333,103.8692235,1.3343451
104 POTONG PASIR AVE 1 SINGAPORE,4 ROOM,592500,103.8692235,1.3343451
104 RIVERVALE WALK SINGAPORE,4 ROOM,375571.4285714286,103.900848,1.382713
104 RIVERVALE WALK SINGAPORE,5 ROOM,467444,103.900848,1.382713
104 SERANGOON NTH AVE 1 SINGAPORE,3 ROOM,290000,103.8710439,1.3705717
104 SERANGOON NTH AVE 1 SINGAPORE,4 ROOM,355000,103.8710439,1.3705717
104 TAMPINES ST 11 SINGAPORE,3 ROOM,303600,103.9465762,1.3472491
104 TAMPINES ST 11 SINGAPORE,4 ROOM,438000,103.9465762,1.3472491
104 TECK WHYE LANE SINGAPORE,4 ROOM,306000,103.752948,1.3770603
104 TOWNER RD SINGAPORE,4 ROOM,565000,103.8608698,1.3198388
104 TOWNER RD SINGAPORE,5 ROOM,737500,103.8608698,1.3198388
104 WHAMPOA DR SINGAPORE,4 ROOM,533000,103.8533738,1.3209644
104 WHAMPOA DR SINGAPORE,5 ROOM,631571.4285714285,103.8533738,1.3209644
104 WOODLANDS ST 13 SINGAPORE,4 ROOM,319200,103.7815558,1.4364506
