"","X","Address","Room","Model","Year","Area","Price","Type","lon","lat","address"
"1985",1985,"  Blk 147 Gangsa Road Singapore","HDB Executive","Na"," Built-1988","142 sqm / $444 psf(Built)","$679,000","Resale",103.7655311,1.37618,"147 gangsa rd, block 141, singapore 670147"
"1986",1986,"  Blk 868A Tampines Avenue 8 Singapore","4-Room","Model A"," Built-2015","92 sqm / $505 psf(Built)","$500,000","Resale",103.9325981,1.3554659,"868a tampines ave 8, singapore"
"1987",1987,"  Blk 5 Dover Crescent Singapore","3-Room","New Generation"," Built-1979","67 sqm / $499 psf(Built)","$360,000","Resale",103.7827329,1.3040211,"5 dover cres, block 5, singapore 130005"
"1988",1988,"  Blk 60 Strathmore Avenue Singapore","4-Room","Model A"," Built-2000","85 sqm / $743 psf(Built)","$680,000","Resale",103.8117238,1.2927692,"60 strathmore ave, singapore 141060"
"1989",1989,"  Blk 183 Bedok North Road Singapore","4-Room","Model A"," Built-2005","92 sqm / $555 psf(Built)","$550,000","Resale",103.9418172,1.3263854,"183 bedok north rd, block 183, singapore 460183"
"1990",1990,"  Blk 588B Park Central @ Amk Singapore","5-Room","Model A"," Built-2011","120 sqm / $619 psf(Built)","$800,000","Resale",103.8526491,1.3720758,"588a ang mo kio street 52, singapore 561588"
"1991",1991,"  Blk 92 Dawson Road Singapore","5-Room","Model A"," Built-2016","99 sqm / $1,013 psf(Built)","$1,080,000","Resale",103.8114169,1.2950444,"92 dawson rd, singapore 141092"
"1992",1992,"  Blk 401 Tampines Street 41 Singapore","5-Room","Improved"," Built-1985","123 sqm / $451 psf(Built)","$598,000","Resale",103.9447179,1.3571056,"401 tampines street 41, block 401, singapore 520401"
"1993",1993,"  Blk 2 Delta Avenue Singapore","5-Room","Improved"," Built-1985","122 sqm / $674 psf(Built)","$885,777","Resale",103.8280113,1.291773,"2 delta ave, block 2, singapore 161002"
"1994",1994,"  Blk 8 City View @ Boon Keng Singapore","5-Room","Improved"," Built-2011","113 sqm / $756 psf(Built)","$920,000","Resale",103.8618856,1.3167997,"7 boon keng rd, singapore 330007"
"1995",1995,"  Blk 549 Choa Chu Kang Street 52 Singapore","5-Room","Model A"," Built-1995","134 sqm / $346 psf(Built)","$499,000","Resale",103.742559,1.393618,"549 choa chu kang street 52, singapore 680549"
"1996",1996,"  Blk 472C Fernvale Rivergrove Singapore","5-Room","Standard"," Built-2016","113 sqm / $501 psf(Built)","$610,000","Resale",103.8805131,1.3966499,"470b fernvale link, singapore 792470"
"1997",1997,"  Blk 237 Hougang Street 21 Singapore","HDB Executive","Maisonette"," Built-1984","148 sqm / $533 psf(Built)","$850,000","Resale",103.888708,1.3569949,"237 hougang street 21, block 237, singapore 530237"
"1998",1998,"  Blk 319B Anchorvale Drive Singapore","5-Room","Improved"," Built-2002","110 sqm / $472 psf(Built)","$560,000","Resale",103.8902484,1.3915634,"319b anchorvale dr, singapore 542319"
"1999",1999,"  Blk 311C Trivelis Singapore","4-Room","Model A"," Built-2014","80 sqm / $929 psf(Built)","$799,999","Resale",103.7655694,1.3191667,"311a clementi ave 4, singapore 121311"
"2000",2000,"  Blk 777 Pasir Ris Street 71 Singapore","5-Room","Improved"," Built-1996","127 sqm / $395 psf(Built)","$540,000","Resale",103.9372622,1.3751087,"777 pasir ris street 71, singapore 510777"
"2001",2001,"  Blk 522A Tampines Central 7 Singapore","4-Room","Model A"," Built-2015","93 sqm / $549 psf(Built)","$550,000","Resale",103.9384669,1.3577782,"522a tampines central 7, singapore 528597"
